Joint1_Type,Joint1_Axis,Joint2_Type,Joint2_Axis,Joint3_Type,Joint3_Axis,Joint4_Type,Joint4_Axis,Joint5_Type,Joint5_Axis,Joint6_Type,Joint6_Axis,Index
roll,z,pitch,y,pitch,x,pitch,x,roll,z,pris,z,168
roll,z,pitch,y,pitch,x,pitch,y,pris,z,roll,x,169
roll,z,pitch,y,pitch,x,pitch,y,pitch,z,roll,x,170
roll,z,pitch,y,pitch,x,pitch,z,pris,z,roll,x,171
roll,z,pitch,y,pitch,x,pitch,z,pitch,z,roll,x,172
roll,z,pitch,y,pitch,x,pitch,x,pris,z,roll,x,173
roll,z,pitch,y,pitch,x,pitch,x,pitch,z,roll,x,174
roll,z,pitch,y,pitch,x,pitch,y,pris,z,roll,y,175
roll,z,pitch,y,pitch,x,pitch,y,pitch,z,roll,y,176
roll,z,pitch,y,pitch,x,pitch,y,roll,z,roll,y,177
roll,z,pitch,y,pitch,x,pitch,z,pris,z,roll,y,178
roll,z,pitch,y,pitch,x,pitch,z,pitch,z,roll,y,179
roll,z,pitch,y,pitch,x,pitch,z,roll,z,roll,y,180
roll,z,pitch,y,pitch,x,pitch,x,pris,z,roll,y,181
roll,z,pitch,y,pitch,x,pitch,x,pitch,z,roll,y,182
roll,z,pitch,y,pitch,x,pitch,x,roll,z,roll,y,183
roll,z,pitch,y,pitch,x,pitch,y,pris,z,roll,z,184
roll,z,pitch,y,pitch,x,pitch,y,pitch,z,roll,z,185
roll,z,pitch,y,pitch,x,pitch,z,pris,z,roll,z,186
roll,z,pitch,y,pitch,x,pitch,z,pitch,z,roll,z,187
roll,z,pitch,y,pitch,x,pitch,x,pris,z,roll,z,188
roll,z,pitch,y,pitch,x,pitch,x,pitch,z,roll,z,189
roll,z,pitch,y,pitch,x,pris,z,pris,x,pitch,x,190
roll,z,pitch,y,pitch,x,pris,z,pitch,x,pitch,x,191
roll,z,pitch,y,pitch,x,pris,y,pris,x,pitch,x,192
roll,z,pitch,y,pitch,x,pris,y,pitch,x,pitch,x,193
roll,z,pitch,y,pitch,x,pris,x,pris,x,pitch,x,194
roll,z,pitch,y,pitch,x,pris,x,pitch,x,pitch,x,195
