,Arm ID,Point number,Move duration,Success,Manipulability - mu,Manipulability - jacobian,Manipulability - cur pose,Manipulability - roni,Mid joint proximity,Max Mid joint proximity,Sum Mid joint proximity,Sum Mid joint proximity- all joints
164,_roll_z_0_1_pris_y_0_7_pris_x_0_1_roll_y_0_3_pitch_y_0_5,,,,,,,,,,,
165,_roll_z_0_1_roll_y_0_5_pris_y_0_5_pris_y_0_1_roll_x_0_7,,,,,,,,,,,
166,_roll_z_0_1_roll_y_0_3_pris_y_0_5_pris_x_0_1_roll_x_0_7,,,,,,,,,,,
167,_roll_z_0_1_pitch_y_0_3_pris_y_0_5_pitch_y_0_1_roll_y_0_7,,,,,,,,,,,
168,_roll_z_0_1_roll_y_0_5_pris_y_0_3_pitch_y_0_1_roll_z_0_7,,,,,,,,,,,
169,_roll_z_0_1_pris_y_0_5_roll_y_0_3_pitch_y_0_1_roll_x_0_7,,,,,,,,,,,
170,_roll_z_0_1_pris_z_0_1_pris_y_0_3_roll_y_0_5_pitch_y_0_7,,,,,,,,,,,
171,_roll_z_0_1_roll_y_0_1_pris_y_0_7_roll_x_0_1_pitch_y_0_7,,,,,,,,,,,
172,_roll_z_0_1_roll_y_0_7_pris_y_0_3_pitch_z_0_1_roll_y_0_7,,,,,,,,,,,
173,_roll_z_0_1_roll_y_0_3_pris_y_0_7_pitch_z_0_1_roll_x_0_5,,,,,,,,,,,
174,_roll_z_0_1_roll_y_0_3_pris_y_0_5_pitch_z_0_3_roll_z_0_7,,,,,,,,,,,
175,_roll_z_0_1_pitch_y_0_3_pris_y_0_1_roll_y_0_3_pitch_y_0_7,,,,,,,,,,,
176,_roll_z_0_1_pris_y_0_1_roll_z_0_3_roll_y_0_5_pitch_y_0_7,,,,,,,,,,,
177,_roll_z_0_1_roll_y_0_5_pris_z_0_1_pris_y_0_5_roll_y_0_7,,,,,,,,,,,
178,_roll_z_0_1_pris_y_0_3_pris_x_0_1_roll_y_0_3_pitch_y_0_7,,,,,,,,,,,
179,_roll_z_0_1_roll_y_0_7_pris_y_0_3_pitch_y_0_1_roll_z_0_7,,,,,,,,,,,
180,_roll_z_0_1_roll_y_0_3_pris_y_0_3_pitch_z_0_3_roll_z_0_7,,,,,,,,,,,
181,_roll_z_0_1_pitch_y_0_1_pris_y_0_3_roll_y_0_3_pris_z_0_7,,,,,,,,,,,
182,_roll_z_0_1_pris_z_0_1_pris_y_0_7_roll_y_0_1_pitch_y_0_5,,,,,,,,,,,
