Link1_Length,Link2_Length,Link3_Length,Link4_Length,Link5_Length,Link6_Length,Index
0.1,0.5,0.1,0.5,0.1,0.5,317
0.1,0.5,0.1,0.5,0.1,0.7,318
0.1,0.5,0.1,0.5,0.3,0.1,319
0.1,0.5,0.1,0.5,0.3,0.3,320
0.1,0.5,0.1,0.5,0.3,0.5,321
0.1,0.5,0.1,0.5,0.5,0.1,322
0.1,0.5,0.1,0.5,0.5,0.3,323
0.1,0.5,0.1,0.5,0.7,0.1,324
0.1,0.5,0.1,0.7,0.1,0.1,325
0.1,0.5,0.1,0.7,0.1,0.3,326
0.1,0.5,0.1,0.7,0.1,0.5,327
0.1,0.5,0.1,0.7,0.3,0.1,328
0.1,0.5,0.1,0.7,0.3,0.3,329
0.1,0.5,0.1,0.7,0.5,0.1,330
0.1,0.5,0.3,0.1,0.1,0.3,331
0.1,0.5,0.3,0.1,0.1,0.5,332
0.1,0.5,0.3,0.1,0.1,0.7,333
0.1,0.5,0.3,0.1,0.3,0.1,334
0.1,0.5,0.3,0.1,0.3,0.3,335
0.1,0.5,0.3,0.1,0.3,0.5,336
0.1,0.5,0.3,0.1,0.3,0.7,337
0.1,0.5,0.3,0.1,0.5,0.1,338
0.1,0.5,0.3,0.1,0.5,0.3,339
0.1,0.5,0.3,0.1,0.5,0.5,340
0.1,0.5,0.3,0.1,0.7,0.1,341
0.1,0.5,0.3,0.1,0.7,0.3,342
0.1,0.5,0.3,0.3,0.1,0.1,343
0.1,0.5,0.3,0.3,0.1,0.3,344
0.1,0.5,0.3,0.3,0.1,0.5,345
0.1,0.5,0.3,0.3,0.1,0.7,346
0.1,0.5,0.3,0.3,0.3,0.1,347
0.1,0.5,0.3,0.3,0.3,0.3,348
0.1,0.5,0.3,0.3,0.3,0.5,349
0.1,0.5,0.3,0.3,0.5,0.1,350
0.1,0.5,0.3,0.3,0.5,0.3,351
0.1,0.5,0.3,0.3,0.7,0.1,352
0.1,0.5,0.3,0.5,0.1,0.1,353
0.1,0.5,0.3,0.5,0.1,0.3,354
0.1,0.5,0.3,0.5,0.1,0.5,355
0.1,0.5,0.3,0.5,0.3,0.1,356
0.1,0.5,0.3,0.5,0.3,0.3,357
0.1,0.5,0.3,0.5,0.5,0.1,358
0.1,0.5,0.3,0.7,0.1,0.1,359
0.1,0.5,0.3,0.7,0.1,0.3,360
0.1,0.5,0.3,0.7,0.3,0.1,361
0.1,0.5,0.5,0.1,0.1,0.1,362
0.1,0.5,0.5,0.1,0.1,0.3,363
0.1,0.5,0.5,0.1,0.1,0.5,364
0.1,0.5,0.5,0.1,0.1,0.7,365
0.1,0.5,0.5,0.1,0.3,0.1,366
0.1,0.5,0.5,0.1,0.3,0.3,367
0.1,0.5,0.5,0.1,0.3,0.5,368
0.1,0.5,0.5,0.1,0.5,0.1,369
0.1,0.5,0.5,0.1,0.5,0.3,370
0.1,0.5,0.5,0.1,0.7,0.1,371
0.1,0.5,0.5,0.3,0.1,0.1,372
0.1,0.5,0.5,0.3,0.1,0.3,373
0.1,0.5,0.5,0.3,0.1,0.5,374
0.1,0.5,0.5,0.3,0.3,0.1,375
0.1,0.5,0.5,0.3,0.3,0.3,376
0.1,0.5,0.5,0.3,0.5,0.1,377
0.1,0.5,0.5,0.5,0.1,0.1,378
0.1,0.5,0.5,0.5,0.1,0.3,379
0.1,0.5,0.5,0.5,0.3,0.1,380
0.1,0.5,0.5,0.7,0.1,0.1,381
0.1,0.5,0.7,0.1,0.1,0.1,382
0.1,0.5,0.7,0.1,0.1,0.3,383
0.1,0.5,0.7,0.1,0.1,0.5,384
0.1,0.5,0.7,0.1,0.3,0.1,385
0.1,0.5,0.7,0.1,0.3,0.3,386
0.1,0.5,0.7,0.1,0.5,0.1,387
0.1,0.5,0.7,0.3,0.1,0.1,388
0.1,0.5,0.7,0.3,0.1,0.3,389
0.1,0.5,0.7,0.3,0.3,0.1,390
0.1,0.5,0.7,0.5,0.1,0.1,391
0.1,0.7,0.1,0.1,0.1,0.3,392
0.1,0.7,0.1,0.1,0.1,0.5,393
0.1,0.7,0.1,0.1,0.1,0.7,394
0.1,0.7,0.1,0.1,0.3,0.1,395
0.1,0.7,0.1,0.1,0.3,0.3,396
0.1,0.7,0.1,0.1,0.3,0.5,397
0.1,0.7,0.1,0.1,0.3,0.7,398
0.1,0.7,0.1,0.1,0.5,0.1,399
0.1,0.7,0.1,0.1,0.5,0.3,400
0.1,0.7,0.1,0.1,0.5,0.5,401
