Joint1_Type,Joint1_Axis,Joint2_Type,Joint2_Axis,Joint3_Type,Joint3_Axis,Joint4_Type,Joint4_Axis,Joint5_Type,Joint5_Axis,Joint6_Type,Joint6_Axis,Index
roll,z,pris,z,pitch,y,pitch,y,pris,x,pitch,z,226
roll,z,pris,z,pitch,y,pitch,y,pris,x,roll,x,227
roll,z,pris,z,pitch,y,pitch,y,pris,x,pris,x,228
roll,z,pris,z,pitch,y,pitch,y,pris,x,roll,z,229
roll,z,pris,z,pitch,y,pitch,y,pris,x,pitch,x,230
roll,z,pris,z,pitch,y,pitch,y,roll,z,roll,y,231
roll,z,pris,z,pitch,y,pitch,y,roll,z,pitch,y,232
roll,z,pris,z,pitch,y,pitch,y,roll,z,pris,z,233
roll,z,pris,z,pitch,y,pitch,y,roll,z,pris,y,234
roll,z,pris,z,pitch,y,pitch,y,pitch,x,roll,y,235
roll,z,pris,z,pitch,y,pitch,y,pitch,x,pitch,y,236
roll,z,pris,z,pitch,y,pitch,y,pitch,x,pris,z,237
roll,z,pris,z,pitch,y,pitch,y,pitch,x,pris,y,238
roll,z,pris,z,pitch,y,pitch,y,pitch,x,pitch,z,239
roll,z,pris,z,pitch,y,pitch,y,pitch,x,roll,x,240
roll,z,pris,z,pitch,y,pitch,y,pitch,x,pris,x,241
roll,z,pris,z,pitch,y,pitch,y,pitch,x,roll,z,242
roll,z,pris,z,pitch,y,pitch,y,pitch,x,pitch,x,243
roll,z,pris,z,pitch,y,pris,z,roll,y,roll,y,244
roll,z,pris,z,pitch,y,pris,z,roll,y,pitch,y,245
roll,z,pris,z,pitch,y,pris,z,roll,y,pris,z,246
roll,z,pris,z,pitch,y,pris,z,roll,y,pris,y,247
roll,z,pris,z,pitch,y,pris,z,pitch,y,roll,y,248
roll,z,pris,z,pitch,y,pris,z,pitch,y,pitch,y,249
roll,z,pris,z,pitch,y,pris,z,pitch,y,pris,z,250
roll,z,pris,z,pitch,y,pris,z,pitch,y,pris,y,251
roll,z,pris,z,pitch,y,pris,z,pitch,y,pitch,z,252
roll,z,pris,z,pitch,y,pris,z,pitch,y,roll,x,253
roll,z,pris,z,pitch,y,pris,z,pitch,y,pris,x,254
roll,z,pris,z,pitch,y,pris,z,pitch,y,roll,z,255
roll,z,pris,z,pitch,y,pris,z,pitch,y,pitch,x,256
roll,z,pris,z,pitch,y,pris,z,pris,y,roll,y,257
roll,z,pris,z,pitch,y,pris,z,pris,y,pitch,y,258
roll,z,pris,z,pitch,y,pris,z,pris,y,pitch,z,259
roll,z,pris,z,pitch,y,pris,z,pris,y,roll,x,260
roll,z,pris,z,pitch,y,pris,z,pris,y,roll,z,261
roll,z,pris,z,pitch,y,pris,z,pris,y,pitch,x,262
roll,z,pris,z,pitch,y,pris,z,pitch,z,roll,y,263
roll,z,pris,z,pitch,y,pris,z,pitch,z,pitch,y,264
roll,z,pris,z,pitch,y,pris,z,pitch,z,pris,z,265
roll,z,pris,z,pitch,y,pris,z,pitch,z,pris,y,266
roll,z,pris,z,pitch,y,pris,z,pitch,z,pitch,z,267
roll,z,pris,z,pitch,y,pris,z,pitch,z,roll,x,268
roll,z,pris,z,pitch,y,pris,z,pitch,z,pris,x,269
roll,z,pris,z,pitch,y,pris,z,pitch,z,roll,z,270
roll,z,pris,z,pitch,y,pris,z,pitch,z,pitch,x,271
roll,z,pris,z,pitch,y,pris,z,roll,x,roll,y,272
roll,z,pris,z,pitch,y,pris,z,roll,x,pitch,y,273
roll,z,pris,z,pitch,y,pris,z,roll,x,pris,z,274
roll,z,pris,z,pitch,y,pris,z,roll,x,pris,y,275
roll,z,pris,z,pitch,y,pris,z,pris,x,roll,y,276
roll,z,pris,z,pitch,y,pris,z,pris,x,pitch,y,277
roll,z,pris,z,pitch,y,pris,z,pris,x,pitch,z,278
roll,z,pris,z,pitch,y,pris,z,pris,x,roll,x,279
roll,z,pris,z,pitch,y,pris,z,pris,x,roll,z,280
roll,z,pris,z,pitch,y,pris,z,pris,x,pitch,x,281
roll,z,pris,z,pitch,y,pris,z,roll,z,roll,y,282
roll,z,pris,z,pitch,y,pris,z,roll,z,pitch,y,283
roll,z,pris,z,pitch,y,pris,z,roll,z,pris,y,284
roll,z,pris,z,pitch,y,pris,z,pitch,x,roll,y,285
roll,z,pris,z,pitch,y,pris,z,pitch,x,pitch,y,286
roll,z,pris,z,pitch,y,pris,z,pitch,x,pris,z,287
roll,z,pris,z,pitch,y,pris,z,pitch,x,pris,y,288
roll,z,pris,z,pitch,y,pris,z,pitch,x,pitch,z,289
roll,z,pris,z,pitch,y,pris,z,pitch,x,roll,x,290
roll,z,pris,z,pitch,y,pris,z,pitch,x,pris,x,291
roll,z,pris,z,pitch,y,pris,z,pitch,x,roll,z,292
roll,z,pris,z,pitch,y,pris,z,pitch,x,pitch,x,293
roll,z,pris,z,pitch,y,pris,y,roll,y,roll,y,294
